fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(-inf, 347.855]",2154,0.9743925741309333,315.90180698177187,1893.8363312204476,2914.947692518829,2760.0,0.9972144846796658,500.0,12000.0,2834.9252318841586,2994.9701531534997,2914.947692518829
"(347.855, 379.952]",2153,0.953694100289939,364.7516440976372,2416.737440494903,3270.4664380660565,2790.0,0.9925685090571296,500.0,24000.0,3168.325492005576,3372.607384126537,3270.4664380660565
"(379.952, 409.855]",2153,0.9308214157484506,395.51684007881346,2868.1734543112907,3615.2273036879765,3000.0,0.9856014862981886,500.0,26064.0,3494.006874368638,3736.447733007315,3615.2273036879765
"(409.855, 433.513]",2153,0.903622055704731,421.7599346554227,2985.344675349716,3940.6111337967664,3000.0,0.967487227124942,400.0,24000.0,3814.4385821792457,4066.783685414287,3940.6111337967664
"(485.694, 496.933]",2153,0.7806600327091971,491.84741726656284,3362.0607434670255,4115.027341703868,3000.0,0.8541569902461681,400.0,33552.0,3972.9332692173666,4257.121414190369,4420.088570433634
"(496.933, 503.627]",2153,0.7595556177983198,500.4789074491159,2985.563931604363,4163.618160588058,3300.0,0.7765908035299582,400.0,24000.0,4037.4363423282853,4289.799978847832,4420.088570433634
"(433.513, 455.705]",2153,0.8725986621483564,444.459676096625,3438.3064939639594,4256.049388945435,3300.0,0.9623780771017185,400.0,37704.0,4110.732867483569,4401.3659104073,4256.049388945435
"(471.197, 485.694]",2153,0.8109826039053846,478.33119006862773,3881.622654700212,4404.658355371156,3000.0,0.8764514630747794,400.0,29472.0,4240.605527969399,4568.711182772913,4420.088570433634
"(503.627, 508.495]",2154,0.744904178383053,506.15770496283506,3306.1568393431244,4662.642278860875,3906.0,0.7335190343546889,500.0,29064.0,4522.943403532041,4802.341154189709,4662.642278860875
"(455.705, 471.197]",2153,0.8392157555061545,464.18721610638477,4479.867778878663,4997.050424071455,3906.0,0.9326521133302369,400.0,38400.0,4807.713375911674,5186.387472231237,4420.088570433634
"(508.495, 512.954]",2153,0.7325739901524128,510.7680233081175,3518.8979033029023,5169.5439101095435,4482.0,0.7129586623316303,400.0,30168.0,5020.821274828155,5318.266545390932,5169.5439101095435
"(649.325, 654.632]",2153,0.2789409265512752,651.9805274380192,4245.922879199139,5452.302588045394,4400.0,0.13980492336274966,600.0,38400.0,5272.852982757519,5631.752193333269,8644.061361121943
